Zip,Latitude,Longitude
78380,27.782255,-97.68609
78631,30.334152,-99.2956
79537,32.269772,-100.23572
78040,27.514845,-99.49991
79544,33.308203,-99.86203
75711,32.539879,-95.419983
88543,31.694842,-106.299987
75002,33.092846,-96.62447
75240,32.938774,-96.78543
76155,32.830932,-97.04778
88540,31.694842,-106.299987
79758,32.020274,-102.35512
76431,33.293652,-97.8597
79008,35.631621,-101.599447
75355,32.767268,-96.777626
75389,32.767268,-96.777626
78932,30.141287,-96.6909
78053,28.906103,-98.2802
78126,29.55302,-98.486871
79016,34.96539,-101.895894
79256,33.915528,-100.81731
78042,27.565464,-99.476792
78219,29.448379,-98.39908
78475,27.777,-97.463213
79311,33.857895,-101.88156
78703,30.290907,-97.76277
79239,34.637427,-100.76388
78341,27.592468,-98.414188
75657,32.768011,-94.34908
76034,32.885062,-97.14923
78607,30.833543,-98.47938
78614,29.406434,-97.5869
76539,31.071352,-97.97615
88520,31.694842,-106.299987
78638,29.655639,-97.77219
79021,33.980231,-102.02668
79046,36.113986,-100.09235
79235,33.941748,-101.30072
78214,29.363335,-98.49049
75116,32.658384,-96.91265
75132,32.941014,-96.38095
77489,29.601141,-95.51772
78535,26.245051,-97.74157
79185,35.401475,-101.895089
79936,31.766355,-106.29828
79372,33.45798,-102.48829
78587,26.316452,-98.639793
78648,29.694257,-97.6533
75356,32.767268,-96.777626
76129,32.771419,-97.291484
78569,26.39381,-97.7113
75050,32.759922,-97.01216
75270,32.78133,-96.80198
75416,33.675155,-95.37293
76869,30.909853,-98.98395
78043,27.538658,-99.38274
78537,26.165352,-98.05568
78655,29.838163,-97.84178
79502,33.151713,-100.25449
78639,30.663209,-98.44588
76909,31.39577,-100.68959
77505,29.650492,-95.14632
75762,32.207845,-95.41859
75954,31.95015,-94.05761
76008,32.690922,-97.64013
76191,32.771419,-97.291484
76531,31.696154,-98.14834
77413,29.83399,-95.434241
77432,29.064542,-96.21454
75977,31.038417,-93.80057
76351,33.574426,-98.63462
76540,31.085833,-97.357099
77651,29.980863,-93.96038
78124,29.570379,-98.14606
78261,29.698045,-98.42624
75474,32.896295,-96.06999
75976,31.506076,-94.94939
77059,29.601776,-95.11734
79223,34.216509,-100.47198
79368,33.044702,-102.099276
79851,31.182009,-105.34084
75642,32.386275,-94.210541
75831,31.453732,-96.03725
75844,31.505916,-95.46315
76253,33.624401,-97.31704
78626,30.643058,-97.64713
76114,32.781329,-97.40099
78070,29.898176,-98.40135
76227,33.274761,-96.99457
76363,33.481208,-99.51447
76795,31.553646,-97.203166
88587,31.694842,-106.299987
78881,29.361493,-99.50497
79382,33.483465,-102.02033
79772,31.388404,-103.52515
76013,32.721632,-97.14698
76367,33.958681,-98.68492
77446,30.082131,-95.99178
77212,29.83399,-95.434241
78934,29.712052,-96.56134
77412,29.575183,-96.46831
75160,32.747747,-96.28923
75220,32.867977,-96.86306
76004,32.771419,-97.291484
79937,31.694842,-106.299987
75087,32.93382,-96.45446
79918,31.831782,-106.390656
78879,29.628266,-99.73847
79789,31.753101,-103.15737
79836,31.570185,-106.2133
75403,33.218505,-96.048665
78108,29.574127,-98.23308
79181,35.401475,-101.895089
79257,34.444761,-101.32582
79978,31.799275,-106.382757
75315,32.767268,-96.777626
77373,30.056394,-95.38961
75157,32.455407,-96.439495
79174,35.401475,-101.895089
88519,31.694842,-106.299987
75420,33.052712,-95.72124
77005,29.717529,-95.42821
78164,28.988817,-97.51773
78616,29.928764,-97.56317
78008,28.759107,-98.2173
76856,30.75159,-99.23238
76908,31.39577,-100.68959
77476,29.686804,-95.99738
77735,30.095391,-95.628023
79109,35.171903,-101.87581
75452,33.385224,-96.24782
75765,32.617073,-95.22445
77641,29.847569,-94.129733
75228,32.825227,-96.67955
77484,30.068888,-95.92499
75901,31.330567,-94.68667
78374,27.884565,-97.32054
75387,32.767268,-96.777626
77088,29.879213,-95.45028
77516,29.183991,-95.465083
78256,29.623533,-98.62493
78543,26.298611,-97.99464
78729,30.451348,-97.76588
76623,32.221421,-96.7832
75928,30.680344,-93.68535
77066,29.959439,-95.49694
76677,31.254242,-96.937574
77566,29.036879,-95.44103
79405,33.570035,-101.84984
76310,33.841948,-98.5624
76565,31.650023,-98.36186
77404,28.798156,-95.651058
78403,27.777,-97.463213
75359,32.767268,-96.777626
75262,32.767268,-96.777626
76234,33.263039,-97.55657
76882,31.801928,-99.68057
77406,29.50401,-95.919107
78270,29.437532,-98.461582
78748,30.17202,-97.82265
78959,29.697311,-97.29077
79065,35.533093,-100.96041
79731,31.389079,-102.35059
76681,31.90869,-96.40744
